        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   4.054E+03  1.819E+01    3.71 um     2109 A      2707 A   
  10.00 MeV   4.156E+03  1.669E+01    3.95 um     2149 A      2750 A   
  11.00 MeV   4.237E+03  1.543E+01    4.19 um     2187 A      2788 A   
  12.00 MeV   4.302E+03  1.436E+01    4.42 um     2222 A      2824 A   
  13.00 MeV   4.353E+03  1.345E+01    4.65 um     2255 A      2857 A   
  14.00 MeV   4.392E+03  1.264E+01    4.88 um     2286 A      2887 A   
  15.00 MeV   4.422E+03  1.194E+01    5.11 um     2317 A      2917 A   
  16.00 MeV   4.444E+03  1.132E+01    5.33 um     2346 A      2944 A   
  17.00 MeV   4.458E+03  1.076E+01    5.55 um     2375 A      2971 A   
  18.00 MeV   4.468E+03  1.026E+01    5.78 um     2403 A      2996 A   
  20.00 MeV   4.472E+03  9.389E+00    6.22 um     2497 A      3045 A   
  22.50 MeV   4.459E+03  8.503E+00    6.78 um     2634 A      3102 A   
  25.00 MeV   4.431E+03  7.780E+00    7.34 um     2764 A      3156 A   
  27.50 MeV   4.393E+03  7.177E+00    7.91 um     2890 A      3208 A   
  30.00 MeV   4.349E+03  6.666E+00    8.48 um     3012 A      3258 A   
  32.50 MeV   4.300E+03  6.228E+00    9.06 um     3132 A      3307 A   
  35.00 MeV   4.249E+03  5.846E+00    9.64 um     3250 A      3355 A   
  37.50 MeV   4.196E+03  5.512E+00   10.23 um     3367 A      3403 A   
  40.00 MeV   4.142E+03  5.216E+00   10.83 um     3482 A      3449 A   
  45.00 MeV   4.035E+03  4.715E+00   12.05 um     3905 A      3543 A   
  50.00 MeV   3.929E+03  4.307E+00   13.30 um     4307 A      3635 A   
  55.00 MeV   3.827E+03  3.967E+00   14.59 um     4693 A      3728 A   
  60.00 MeV   3.749E+03  3.680E+00   15.91 um     5065 A      3822 A   
  65.00 MeV   3.654E+03  3.434E+00   17.26 um     5428 A      3917 A   
  70.00 MeV   3.554E+03  3.221E+00   18.65 um     5787 A      4013 A   
  80.00 MeV   3.381E+03  2.868E+00   21.53 um     7105 A      4210 A   
  90.00 MeV   3.227E+03  2.589E+00   24.55 um     8318 A      4415 A   
