        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.50 GeV   4.608E+02  1.774E-01    1.88 mm    72.02 um    12.17 um  
   1.60 GeV   4.387E+02  1.673E-01    2.11 mm    78.64 um    13.52 um  
   1.70 GeV   4.190E+02  1.584E-01    2.34 mm    85.33 um    14.92 um  
   1.80 GeV   4.013E+02  1.504E-01    2.58 mm    92.09 um    16.39 um  
   2.00 GeV   3.707E+02  1.366E-01    3.10 mm   117.84 um    19.49 um  
   2.25 GeV   3.396E+02  1.227E-01    3.81 mm   154.48 um    23.67 um  
   2.50 GeV   3.142E+02  1.115E-01    4.57 mm   188.78 um    28.18 um  
   2.75 GeV   2.931E+02  1.022E-01    5.40 mm   222.00 um    33.00 um  
   3.00 GeV   2.752E+02  9.442E-02    6.28 mm   254.69 um    38.11 um  
   3.25 GeV   2.600E+02  8.777E-02    7.21 mm   287.11 um    43.50 um  
   3.50 GeV   2.468E+02  8.202E-02    8.20 mm   319.42 um    49.15 um  
   3.75 GeV   2.352E+02  7.701E-02    9.24 mm   351.71 um    55.07 um  
   4.00 GeV   2.250E+02  7.259E-02   10.32 mm   384.02 um    61.22 um  
   4.50 GeV   2.079E+02  6.517E-02   12.63 mm   504.78 um    74.21 um  
   5.00 GeV   1.940E+02  5.918E-02   15.12 mm   615.90 um    88.06 um  
   5.50 GeV   1.825E+02  5.423E-02   17.78 mm   721.92 um   102.67 um  
   6.00 GeV   1.729E+02  5.006E-02   20.60 mm   824.82 um   117.99 um  
   6.50 GeV   1.647E+02  4.652E-02   23.56 mm   925.59 um   133.96 um  
   7.00 GeV   1.577E+02  4.346E-02   26.66 mm     1.02 mm   150.51 um  
   8.00 GeV   1.462E+02  3.844E-02   33.25 mm     1.39 mm   185.21 um  
   9.00 GeV   1.372E+02  3.449E-02   40.31 mm     1.71 mm   221.73 um  
  10.00 GeV   1.301E+02  3.130E-02   47.80 mm     2.01 mm   259.77 um  
