        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   2.925E+01  1.742E-02   52.30 um     2.27 um     2.36 um  
   2.75 MeV   2.731E+01  1.603E-02   61.11 um     2.65 um     2.71 um  
   3.00 MeV   2.564E+01  1.485E-02   70.52 um     3.02 um     3.10 um  
   3.25 MeV   2.419E+01  1.385E-02   80.52 um     3.40 um     3.50 um  
   3.50 MeV   2.290E+01  1.297E-02   91.10 um     3.78 um     3.92 um  
   3.75 MeV   2.176E+01  1.221E-02  102.26 um     4.17 um     4.36 um  
   4.00 MeV   2.075E+01  1.154E-02  113.98 um     4.56 um     4.82 um  
   4.50 MeV   1.900E+01  1.040E-02  139.07 um     5.91 um     5.81 um  
   5.00 MeV   1.755E+01  9.473E-03  166.36 um     7.20 um     6.87 um  
   5.50 MeV   1.633E+01  8.707E-03  195.80 um     8.46 um     8.01 um  
   6.00 MeV   1.528E+01  8.061E-03  227.35 um     9.73 um     9.23 um  
   6.50 MeV   1.437E+01  7.509E-03  260.98 um    11.00 um    10.52 um  
   7.00 MeV   1.357E+01  7.031E-03  296.66 um    12.28 um    11.88 um  
   8.00 MeV   1.224E+01  6.244E-03  373.98 um    16.77 um    14.81 um  
   9.00 MeV   1.117E+01  5.622E-03  459.22 um    21.00 um    18.01 um  
  10.00 MeV   1.029E+01  5.117E-03  552.21 um    25.15 um    21.49 um  
  11.00 MeV   9.547E+00  4.700E-03  652.80 um    29.30 um    25.22 um  
  12.00 MeV   8.915E+00  4.348E-03  760.85 um    33.48 um    29.22 um  
  13.00 MeV   8.370E+00  4.047E-03  876.26 um    37.72 um    33.46 um  
  14.00 MeV   7.893E+00  3.787E-03  998.92 um    42.02 um    37.95 um  
  15.00 MeV   7.473E+00  3.560E-03    1.13 mm    46.40 um    42.69 um  
  16.00 MeV   7.100E+00  3.359E-03    1.27 mm    50.86 um    47.67 um  
  17.00 MeV   6.766E+00  3.181E-03    1.41 mm    55.40 um    52.88 um  
