        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   2.471E+03  2.727E+01    2.52 um     2361 A      2961 A   
   3.50 MeV   2.574E+03  2.572E+01    2.62 um     2377 A      2996 A   
   3.75 MeV   2.670E+03  2.436E+01    2.71 um     2391 A      3027 A   
   4.00 MeV   2.759E+03  2.314E+01    2.80 um     2405 A      3056 A   
   4.50 MeV   2.917E+03  2.107E+01    2.98 um     2434 A      3106 A   
   5.00 MeV   3.050E+03  1.936E+01    3.14 um     2459 A      3150 A   
   5.50 MeV   3.164E+03  1.793E+01    3.30 um     2481 A      3189 A   
   6.00 MeV   3.259E+03  1.671E+01    3.46 um     2502 A      3223 A   
   6.50 MeV   3.340E+03  1.566E+01    3.61 um     2520 A      3254 A   
   7.00 MeV   3.408E+03  1.474E+01    3.75 um     2537 A      3283 A   
   8.00 MeV   3.513E+03  1.322E+01    4.04 um     2585 A      3334 A   
   9.00 MeV   3.588E+03  1.200E+01    4.32 um     2628 A      3379 A   
  10.00 MeV   3.639E+03  1.100E+01    4.60 um     2668 A      3419 A   
  11.00 MeV   3.674E+03  1.016E+01    4.87 um     2706 A      3456 A   
  12.00 MeV   3.696E+03  9.454E+00    5.14 um     2743 A      3491 A   
  13.00 MeV   3.708E+03  8.844E+00    5.41 um     2778 A      3523 A   
  14.00 MeV   3.712E+03  8.312E+00    5.68 um     2812 A      3554 A   
  15.00 MeV   3.710E+03  7.846E+00    5.94 um     2846 A      3583 A   
  16.00 MeV   3.703E+03  7.432E+00    6.21 um     2879 A      3611 A   
  17.00 MeV   3.693E+03  7.062E+00    6.48 um     2912 A      3638 A   
  18.00 MeV   3.680E+03  6.730E+00    6.75 um     2944 A      3665 A   
  20.00 MeV   3.647E+03  6.157E+00    7.30 um     3056 A      3716 A   
  22.50 MeV   3.597E+03  5.572E+00    7.99 um     3223 A      3777 A   
  25.00 MeV   3.543E+03  5.095E+00    8.68 um     3386 A      3835 A   
  27.50 MeV   3.487E+03  4.697E+00    9.39 um     3545 A      3893 A   
  30.00 MeV   3.429E+03  4.361E+00   10.12 um     3702 A      3949 A   
  32.50 MeV   3.372E+03  4.072E+00   10.85 um     3858 A      4005 A   
  35.00 MeV   3.315E+03  3.821E+00   11.60 um     4012 A      4060 A   
  37.50 MeV   3.259E+03  3.601E+00   12.36 um     4166 A      4116 A   
  40.00 MeV   3.205E+03  3.407E+00   13.13 um     4319 A      4171 A   
  45.00 MeV   3.099E+03  3.078E+00   14.71 um     4888 A      4283 A   
  50.00 MeV   3.011E+03  2.810E+00   16.35 um     5427 A      4397 A   
  55.00 MeV   2.924E+03  2.587E+00   18.03 um     5946 A      4513 A   
  60.00 MeV   2.826E+03  2.399E+00   19.77 um     6454 A      4631 A   
  65.00 MeV   2.740E+03  2.238E+00   21.56 um     6954 A      4753 A   
  70.00 MeV   2.659E+03  2.098E+00   23.41 um     7450 A      4878 A   
  80.00 MeV   2.512E+03  1.867E+00   27.28 um     9274 A      5140 A   
  90.00 MeV   2.382E+03  1.684E+00   31.37 um     1.10 um     5416 A   
 100.00 MeV   2.266E+03  1.536E+00   35.67 um     1.26 um     5709 A   
 110.00 MeV   2.162E+03  1.412E+00   40.18 um     1.41 um     6018 A   
 120.00 MeV   2.068E+03  1.308E+00   44.91 um     1.57 um     6342 A   
 130.00 MeV   1.982E+03  1.219E+00   49.85 um     1.72 um     6683 A   
 140.00 MeV   1.904E+03  1.142E+00   54.99 um     1.87 um     7039 A   
 150.00 MeV   1.832E+03  1.075E+00   60.35 um     2.02 um     7411 A   
 160.00 MeV   1.765E+03  1.015E+00   65.90 um     2.17 um     7799 A   
 170.00 MeV   1.704E+03  9.622E-01   71.67 um     2.32 um     8202 A   
 180.00 MeV   1.647E+03  9.147E-01   77.63 um     2.47 um     8619 A   
 200.00 MeV   1.544E+03  8.331E-01   90.17 um     3.05 um     9500 A   
 225.00 MeV   1.433E+03  7.504E-01  106.97 um     3.87 um     1.07 um  
