        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 GeV   6.865E+02  2.556E-01    2.73 mm   107.91 um    14.47 um  
   3.50 GeV   6.496E+02  2.389E-01    3.11 mm   120.25 um    16.33 um  
   3.75 GeV   6.172E+02  2.244E-01    3.50 mm   132.64 um    18.29 um  
   4.00 GeV   5.886E+02  2.116E-01    3.92 mm   145.09 um    20.34 um  
   4.50 GeV   5.403E+02  1.901E-01    4.80 mm   191.90 um    24.69 um  
   5.00 GeV   5.012E+02  1.727E-01    5.76 mm   235.28 um    29.36 um  
   5.50 GeV   4.687E+02  1.583E-01    6.80 mm   276.97 um    34.34 um  
   6.00 GeV   4.415E+02  1.462E-01    7.90 mm   317.75 um    39.60 um  
   6.50 GeV   4.182E+02  1.359E-01    9.06 mm   357.98 um    45.13 um  
   7.00 GeV   3.981E+02  1.270E-01   10.28 mm   397.88 um    50.91 um  
   8.00 GeV   3.651E+02  1.124E-01   12.91 mm   544.35 um    63.17 um  
   9.00 GeV   3.393E+02  1.009E-01   15.75 mm   676.93 um    76.26 um  
  10.00 GeV   3.185E+02  9.163E-02   18.79 mm   802.41 um    90.10 um  
