        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  40.00 MeV   6.122E+03  1.242E+01   10.94 um     4259 A      5442 A   
  45.00 MeV   6.145E+03  1.124E+01   11.75 um     4428 A      5511 A   
  50.00 MeV   6.138E+03  1.028E+01   12.56 um     4589 A      5574 A   
  55.00 MeV   6.112E+03  9.480E+00   13.38 um     4745 A      5634 A   
  60.00 MeV   6.072E+03  8.802E+00   14.20 um     4897 A      5690 A   
  65.00 MeV   6.023E+03  8.221E+00   15.02 um     5046 A      5744 A   
  70.00 MeV   5.968E+03  7.716E+00   15.85 um     5193 A      5796 A   
  80.00 MeV   5.859E+03  6.881E+00   17.54 um     5735 A      5897 A   
  90.00 MeV   5.749E+03  6.218E+00   19.26 um     6248 A      5993 A   
 100.00 MeV   5.595E+03  5.678E+00   21.02 um     6743 A      6087 A   
 110.00 MeV   5.454E+03  5.229E+00   22.83 um     7227 A      6181 A   
 120.00 MeV   5.317E+03  4.849E+00   24.69 um     7704 A      6274 A   
 130.00 MeV   5.184E+03  4.524E+00   26.59 um     8176 A      6368 A   
 140.00 MeV   5.057E+03  4.242E+00   28.54 um     8643 A      6463 A   
 150.00 MeV   4.934E+03  3.995E+00   30.54 um     9109 A      6559 A   
 160.00 MeV   4.817E+03  3.776E+00   32.59 um     9573 A      6656 A   
 170.00 MeV   4.704E+03  3.582E+00   34.69 um     1.00 um     6755 A   
 180.00 MeV   4.596E+03  3.407E+00   36.84 um     1.05 um     6856 A   
 200.00 MeV   4.394E+03  3.107E+00   41.29 um     1.23 um     7065 A   
 225.00 MeV   4.165E+03  2.803E+00   47.13 um     1.48 um     7339 A   
 250.00 MeV   3.958E+03  2.555E+00   53.28 um     1.72 um     7629 A   
 275.00 MeV   3.772E+03  2.349E+00   59.75 um     1.95 um     7935 A   
 300.00 MeV   3.602E+03  2.176E+00   66.53 um     2.18 um     8260 A   
 325.00 MeV   3.448E+03  2.028E+00   73.62 um     2.40 um     8602 A   
