        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.30 GeV   5.158E+02  2.027E-01    1.47 mm    58.78 um     9.67 um  
   1.40 GeV   4.874E+02  1.895E-01    1.67 mm    65.24 um    10.89 um  
   1.50 GeV   4.624E+02  1.780E-01    1.88 mm    71.76 um    12.17 um  
   1.60 GeV   4.403E+02  1.679E-01    2.10 mm    78.36 um    13.51 um  
   1.70 GeV   4.205E+02  1.589E-01    2.33 mm    85.03 um    14.91 um  
   1.80 GeV   4.027E+02  1.509E-01    2.58 mm    91.77 um    16.37 um  
   2.00 GeV   3.721E+02  1.371E-01    3.09 mm   117.42 um    19.46 um  
   2.25 GeV   3.408E+02  1.232E-01    3.80 mm   153.93 um    23.62 um  
   2.50 GeV   3.153E+02  1.119E-01    4.56 mm   188.11 um    28.11 um  
   2.75 GeV   2.941E+02  1.026E-01    5.38 mm   221.21 um    32.91 um  
   3.00 GeV   2.762E+02  9.476E-02    6.26 mm   253.78 um    38.00 um  
   3.25 GeV   2.609E+02  8.808E-02    7.19 mm   286.09 um    43.38 um  
   3.50 GeV   2.476E+02  8.231E-02    8.17 mm   318.29 um    49.01 um  
   3.75 GeV   2.360E+02  7.728E-02    9.20 mm   350.46 um    54.90 um  
   4.00 GeV   2.258E+02  7.285E-02   10.29 mm   382.65 um    61.03 um  
   4.50 GeV   2.086E+02  6.541E-02   12.59 mm   502.99 um    73.98 um  
   5.00 GeV   1.947E+02  5.939E-02   15.07 mm   613.71 um    87.77 um  
   5.50 GeV   1.832E+02  5.442E-02   17.72 mm   719.36 um   102.34 um  
   6.00 GeV   1.735E+02  5.024E-02   20.53 mm   821.89 um   117.60 um  
   6.50 GeV   1.653E+02  4.668E-02   23.48 mm   922.30 um   133.51 um  
   7.00 GeV   1.582E+02  4.361E-02   26.57 mm     1.02 mm   150.01 um  
   8.00 GeV   1.467E+02  3.857E-02   33.13 mm     1.38 mm   184.58 um  
   9.00 GeV   1.377E+02  3.461E-02   40.17 mm     1.70 mm   220.97 um  
  10.00 GeV   1.305E+02  3.141E-02   47.63 mm     2.00 mm   258.87 um  
