        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   2.662E+03  1.771E+00   43.46 um     1.40 um     7042 A   
 150.00 MeV   2.574E+03  1.667E+00   47.28 um     1.51 um     7265 A   
 160.00 MeV   2.492E+03  1.575E+00   51.23 um     1.61 um     7496 A   
 170.00 MeV   2.415E+03  1.493E+00   55.30 um     1.71 um     7737 A   
 180.00 MeV   2.344E+03  1.420E+00   59.50 um     1.81 um     7986 A   
 200.00 MeV   2.215E+03  1.294E+00   68.28 um     2.20 um     8512 A   
 225.00 MeV   2.074E+03  1.166E+00   79.94 um     2.76 um     9218 A   
 250.00 MeV   1.951E+03  1.062E+00   92.36 um     3.27 um     9980 A   
 275.00 MeV   1.842E+03  9.757E-01  105.55 um     3.77 um     1.08 um  
 300.00 MeV   1.744E+03  9.031E-01  119.49 um     4.26 um     1.17 um  
 325.00 MeV   1.657E+03  8.411E-01  134.20 um     4.75 um     1.26 um  
 350.00 MeV   1.577E+03  7.873E-01  149.66 um     5.23 um     1.35 um  
 375.00 MeV   1.505E+03  7.404E-01  165.88 um     5.72 um     1.46 um  
 400.00 MeV   1.439E+03  6.990E-01  182.86 um     6.21 um     1.56 um  
 450.00 MeV   1.322E+03  6.292E-01  219.12 um     8.07 um     1.79 um  
 500.00 MeV   1.222E+03  5.726E-01  258.45 um     9.81 um     2.04 um  
 550.00 MeV   1.137E+03  5.257E-01  300.84 um    11.51 um     2.31 um  
 600.00 MeV   1.065E+03  4.863E-01  346.28 um    13.20 um     2.59 um  
 650.00 MeV   1.002E+03  4.526E-01  394.67 um    14.88 um     2.90 um  
 700.00 MeV   9.492E+02  4.234E-01  445.93 um    16.57 um     3.22 um  
 800.00 MeV   8.668E+02  3.755E-01  556.17 um    22.78 um     3.91 um  
 900.00 MeV   7.997E+02  3.377E-01  676.28 um    28.44 um     4.66 um  
   1.00 GeV   7.384E+02  3.071E-01  806.41 um    33.91 um     5.46 um  
   1.10 GeV   6.852E+02  2.818E-01  946.99 um    39.34 um     6.32 um  
   1.20 GeV   6.399E+02  2.605E-01    1.10 mm    44.80 um     7.25 um  
   1.30 GeV   6.010E+02  2.423E-01    1.26 mm    50.31 um     8.22 um  
   1.40 GeV   5.672E+02  2.266E-01    1.43 mm    55.87 um     9.26 um  
   1.50 GeV   5.374E+02  2.128E-01    1.61 mm    61.51 um    10.35 um  
   1.60 GeV   5.111E+02  2.007E-01    1.80 mm    67.21 um    11.49 um  
   1.70 GeV   4.876E+02  1.900E-01    2.00 mm    72.98 um    12.69 um  
   1.80 GeV   4.666E+02  1.804E-01    2.21 mm    78.82 um    13.94 um  
