       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.10 MeV   6.999E+02  3.548E+01    2.21 um     3820 A      4224 A   
   1.20 MeV   7.526E+02  3.331E+01    2.34 um     3889 A      4349 A   
   1.30 MeV   8.065E+02  3.142E+01    2.46 um     3948 A      4459 A   
   1.40 MeV   8.613E+02  2.975E+01    2.57 um     3999 A      4557 A   
   1.50 MeV   9.167E+02  2.827E+01    2.67 um     4044 A      4645 A   
   1.60 MeV   9.722E+02  2.695E+01    2.77 um     4082 A      4724 A   
   1.70 MeV   1.028E+03  2.575E+01    2.87 um     4117 A      4795 A   
   1.80 MeV   1.082E+03  2.467E+01    2.96 um     4147 A      4860 A   
   2.00 MeV   1.190E+03  2.278E+01    3.12 um     4201 A      4973 A   
   2.25 MeV   1.319E+03  2.082E+01    3.32 um     4257 A      5090 A   
   2.50 MeV   1.440E+03  1.921E+01    3.49 um     4301 A      5186 A   
   2.75 MeV   1.551E+03  1.784E+01    3.65 um     4338 A      5267 A   
   3.00 MeV   1.654E+03  1.667E+01    3.81 um     4368 A      5337 A   
   3.25 MeV   1.748E+03  1.566E+01    3.95 um     4395 A      5398 A   
   3.50 MeV   1.834E+03  1.478E+01    4.09 um     4418 A      5452 A   
   3.75 MeV   1.911E+03  1.399E+01    4.22 um     4438 A      5501 A   
   4.00 MeV   1.981E+03  1.330E+01    4.34 um     4456 A      5544 A   
   4.50 MeV   2.102E+03  1.211E+01    4.58 um     4494 A      5620 A   
   5.00 MeV   2.200E+03  1.113E+01    4.81 um     4526 A      5685 A   
   5.50 MeV   2.279E+03  1.031E+01    5.03 um     4554 A      5742 A   
   6.00 MeV   2.343E+03  9.610E+00    5.25 um     4580 A      5792 A   
   6.50 MeV   2.395E+03  9.007E+00    5.46 um     4603 A      5838 A   
   7.00 MeV   2.436E+03  8.480E+00    5.66 um     4625 A      5879 A   
   8.00 MeV   2.493E+03  7.604E+00    6.07 um     4681 A      5954 A   
   9.00 MeV   2.525E+03  6.904E+00    6.46 um     4734 A      6019 A  
  10.00 MeV   2.540E+03  6.330E+00    6.85 um     4783 A      6078 A
