       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   3.920E+03  7.678E+00   11.14 um     4813 A      5838 A   
  35.00 MeV   3.880E+03  7.214E+00   11.78 um     4914 A      5898 A   
  37.50 MeV   3.838E+03  6.807E+00   12.43 um     5014 A      5957 A   
  40.00 MeV   3.795E+03  6.446E+00   13.08 um     5114 A      6015 A   
  45.00 MeV   3.710E+03  5.834E+00   14.41 um     5478 A      6128 A   
  50.00 MeV   3.627E+03  5.335E+00   15.77 um     5833 A      6240 A   
  55.00 MeV   3.547E+03  4.919E+00   17.16 um     6182 A      6351 A   
  60.00 MeV   3.470E+03  4.567E+00   18.58 um     6527 A      6461 A   
  65.00 MeV   3.397E+03  4.265E+00   20.04 um     6868 A      6572 A   
  70.00 MeV   3.328E+03  4.002E+00   21.52 um     7206 A      6683 A   
  80.00 MeV   3.289E+03  3.569E+00   24.54 um     8417 A      6906 A   
  90.00 MeV   3.194E+03  3.224E+00   27.62 um     9517 A      7130 A   
 100.00 MeV   3.089E+03  2.944E+00   30.80 um     1.06 um     7357 A   
 110.00 MeV   2.992E+03  2.711E+00   34.09 um     1.16 um     7590 A   
 120.00 MeV   2.900E+03  2.514E+00   37.48 um     1.26 um     7829 A   
 130.00 MeV   2.814E+03  2.345E+00   40.98 um     1.35 um     8074 A   
 140.00 MeV   2.732E+03  2.198E+00   44.58 um     1.45 um     8326 A   
 150.00 MeV   2.656E+03  2.070E+00   48.29 um     1.55 um     8585 A   
 160.00 MeV   2.584E+03  1.957E+00   52.10 um     1.64 um     8850 A   
 170.00 MeV   2.516E+03  1.856E+00   56.02 um     1.73 um     9124 A   
 180.00 MeV   2.451E+03  1.765E+00   60.05 um     1.83 um     9404 A   
 200.00 MeV   2.333E+03  1.610E+00   68.41 um     2.18 um     9987 A   
 225.00 MeV   2.201E+03  1.452E+00   79.43 um     2.69 um     1.08 um  
 250.00 MeV   2.086E+03  1.323E+00   91.09 um     3.16 um     1.16 um  
 275.00 MeV   1.984E+03  1.217E+00  103.37 um     3.62 um     1.24 um  
 300.00 MeV   1.894E+03  1.127E+00  116.26 um     4.06 um     1.33 um  
 325.00 MeV   1.813E+03  1.050E+00  129.75 um     4.49 um     1.43 um  
 350.00 MeV   1.741E+03  9.833E-01  143.81 um     4.92 um     1.53 um  
 375.00 MeV   1.675E+03  9.251E-01  158.45 um     5.34 um     1.63 um  
