        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.083E+03  5.945E+00    6.60 um     4414 A      5986 A   
   4.00 MeV   1.120E+03  5.637E+00    6.82 um     4442 A      6040 A   
   4.50 MeV   1.188E+03  5.115E+00    7.25 um     4511 A      6135 A   
   5.00 MeV   1.252E+03  4.687E+00    7.66 um     4571 A      6217 A   
   5.50 MeV   1.310E+03  4.330E+00    8.05 um     4624 A      6288 A   
   6.00 MeV   1.364E+03  4.027E+00    8.42 um     4671 A      6351 A   
   6.50 MeV   1.412E+03  3.766E+00    8.78 um     4713 A      6408 A   
   7.00 MeV   1.454E+03  3.539E+00    9.12 um     4752 A      6459 A   
   8.00 MeV   1.521E+03  3.163E+00    9.79 um     4868 A      6548 A   
   9.00 MeV   1.565E+03  2.864E+00   10.44 um     4972 A      6626 A   
  10.00 MeV   1.589E+03  2.619E+00   11.07 um     5069 A      6695 A   
  11.00 MeV   1.597E+03  2.415E+00   11.69 um     5161 A      6758 A   
  12.00 MeV   1.594E+03  2.243E+00   12.32 um     5250 A      6816 A   
  13.00 MeV   1.582E+03  2.095E+00   12.95 um     5338 A      6872 A   
  14.00 MeV   1.565E+03  1.966E+00   13.58 um     5426 A      6925 A   
  15.00 MeV   1.544E+03  1.853E+00   14.22 um     5513 A      6975 A   
  16.00 MeV   1.521E+03  1.753E+00   14.88 um     5602 A      7025 A   
  17.00 MeV   1.497E+03  1.664E+00   15.54 um     5691 A      7073 A   
  18.00 MeV   1.472E+03  1.584E+00   16.21 um     5781 A      7121 A   
  20.00 MeV   1.423E+03  1.447E+00   17.59 um     6123 A      7215 A   
  22.50 MeV   1.364E+03  1.307E+00   19.38 um     6653 A      7331 A   
  25.00 MeV   1.309E+03  1.193E+00   21.25 um     7183 A      7447 A   
  27.50 MeV   1.257E+03  1.098E+00   23.20 um     7717 A      7565 A   
  30.00 MeV   1.210E+03  1.018E+00   25.22 um     8255 A      7686 A   
  32.50 MeV   1.170E+03  9.494E-01   27.32 um     8795 A      7809 A   
  35.00 MeV   1.142E+03  8.900E-01   29.48 um     9334 A      7936 A   
  37.50 MeV   1.110E+03  8.379E-01   31.70 um     9871 A      8065 A   
  40.00 MeV   1.074E+03  7.919E-01   33.99 um     1.04 um     8198 A   
  45.00 MeV   1.009E+03  7.143E-01   38.79 um     1.25 um     8478 A   
  50.00 MeV   9.523E+02  6.511E-01   43.89 um     1.44 um     8778 A   
  55.00 MeV   9.030E+02  5.988E-01   49.28 um     1.64 um     9098 A   
  60.00 MeV   8.594E+02  5.546E-01   54.95 um     1.83 um     9441 A   
  65.00 MeV   8.206E+02  5.168E-01   60.90 um     2.02 um     9805 A   
  70.00 MeV   7.856E+02  4.841E-01   67.12 um     2.20 um     1.02 um  
  80.00 MeV   7.250E+02  4.301E-01   80.37 um     2.90 um     1.10 um  
  90.00 MeV   6.740E+02  3.875E-01   94.67 um     3.54 um     1.20 um  
 100.00 MeV   6.302E+02  3.529E-01  110.01 um     4.16 um     1.30 um  
 110.00 MeV   5.921E+02  3.242E-01  126.38 um     4.77 um     1.41 um  
 120.00 MeV   5.585E+02  3.001E-01  143.76 um     5.37 um     1.53 um  
 130.00 MeV   5.287E+02  2.794E-01  162.16 um     5.98 um     1.65 um  
 140.00 MeV   5.018E+02  2.615E-01  181.56 um     6.59 um     1.79 um  
 150.00 MeV   4.776E+02  2.459E-01  201.98 um     7.20 um     1.93 um  
 160.00 MeV   4.555E+02  2.321E-01  223.42 um     7.82 um     2.08 um  
 170.00 MeV   4.354E+02  2.199E-01  245.86 um     8.45 um     2.24 um  
 180.00 MeV   4.169E+02  2.089E-01  269.33 um     9.09 um     2.41 um  
 200.00 MeV   3.842E+02  1.901E-01  319.29 um    11.54 um     2.76 um  
 225.00 MeV   3.496E+02  1.710E-01  387.50 um    15.06 um     3.25 um  
