        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   4.258E-01  1.064E-04  753.14 mm    30.10 mm    18.89 mm  
 550.00 MeV   4.098E-01  9.741E-05  872.71 mm    34.66 mm    21.58 mm  
 600.00 MeV   3.967E-01  8.985E-05  996.58 mm    38.98 mm    24.31 mm  
 650.00 MeV   3.858E-01  8.341E-05    1.12 m     43.10 mm    27.06 mm  
 700.00 MeV   3.766E-01  7.786E-05    1.26 m     47.06 mm    29.84 mm  
 800.00 MeV   3.622E-01  6.877E-05    1.53 m     60.90 mm    35.41 mm  
 900.00 MeV   3.515E-01  6.164E-05    1.81 m     72.88 mm    40.97 mm  
   1.00 GeV   3.434E-01  5.588E-05    2.09 m     83.69 mm    46.49 mm  
   1.10 GeV   3.372E-01  5.113E-05    2.39 m     93.65 mm    51.94 mm  
   1.20 GeV   3.324E-01  4.715E-05    2.69 m    102.95 mm    57.31 mm  
   1.30 GeV   3.287E-01  4.376E-05    2.99 m    111.70 mm    62.59 mm  
   1.40 GeV   3.258E-01  4.084E-05    3.29 m    119.98 mm    67.78 mm  
   1.50 GeV   3.235E-01  3.829E-05    3.60 m    127.85 mm    72.87 mm  
   1.60 GeV   3.217E-01  3.605E-05    3.91 m    135.37 mm    77.86 mm  
   1.70 GeV   3.203E-01  3.407E-05    4.22 m    142.56 mm    82.75 mm  
   1.80 GeV   3.193E-01  3.230E-05    4.53 m    149.46 mm    87.54 mm  
   2.00 GeV   3.180E-01  2.927E-05    5.16 m    174.17 mm    96.84 mm  
   2.25 GeV   3.174E-01  2.622E-05    5.95 m    207.06 mm   107.95 mm  
   2.50 GeV   3.175E-01  2.376E-05    6.73 m    235.45 mm   118.53 mm  
   2.75 GeV   3.181E-01  2.173E-05    7.52 m    260.72 mm   128.61 mm  
   3.00 GeV   3.191E-01  2.003E-05    8.31 m    283.66 mm   138.25 mm  
   3.25 GeV   3.203E-01  1.859E-05    9.09 m    304.74 mm   147.47 mm  
   3.50 GeV   3.216E-01  1.734E-05    9.87 m    324.32 mm   156.32 mm  
