        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   1.696E+03  2.582E+01    6.64 um     4617 A      6074 A   
   6.50 MeV   1.803E+03  2.423E+01    6.92 um     4664 A      6164 A   
   7.00 MeV   1.907E+03  2.283E+01    7.18 um     4705 A      6244 A   
   8.00 MeV   2.110E+03  2.051E+01    7.67 um     4797 A      6379 A   
   9.00 MeV   2.304E+03  1.865E+01    8.12 um     4871 A      6488 A   
  10.00 MeV   2.491E+03  1.712E+01    8.53 um     4931 A      6578 A   
  11.00 MeV   2.670E+03  1.584E+01    8.92 um     4982 A      6654 A   
  12.00 MeV   2.840E+03  1.475E+01    9.28 um     5026 A      6719 A   
  13.00 MeV   2.999E+03  1.381E+01    9.62 um     5064 A      6776 A   
  14.00 MeV   3.145E+03  1.300E+01    9.94 um     5097 A      6826 A   
  15.00 MeV   3.278E+03  1.228E+01   10.25 um     5127 A      6871 A   
  16.00 MeV   3.396E+03  1.164E+01   10.55 um     5155 A      6911 A   
  17.00 MeV   3.499E+03  1.107E+01   10.84 um     5180 A      6947 A   
  18.00 MeV   3.589E+03  1.055E+01   11.12 um     5203 A      6981 A   
  20.00 MeV   3.727E+03  9.666E+00   11.66 um     5274 A      7040 A   
  22.50 MeV   3.838E+03  8.759E+00   12.32 um     5371 A      7105 A   
  25.00 MeV   3.896E+03  8.017E+00   12.96 um     5461 A      7161 A   
  27.50 MeV   3.916E+03  7.399E+00   13.60 um     5546 A      7212 A   
  30.00 MeV   3.912E+03  6.874E+00   14.24 um     5630 A      7259 A   
  32.50 MeV   3.890E+03  6.424E+00   14.88 um     5712 A      7303 A   
  35.00 MeV   3.857E+03  6.033E+00   15.52 um     5793 A      7344 A   
  37.50 MeV   3.817E+03  5.689E+00   16.17 um     5875 A      7384 A   
  40.00 MeV   3.773E+03  5.385E+00   16.83 um     5957 A      7422 A   
  45.00 MeV   3.678E+03  4.869E+00   18.17 um     6267 A      7494 A   
  50.00 MeV   3.580E+03  4.449E+00   19.55 um     6577 A      7564 A   
  55.00 MeV   3.484E+03  4.100E+00   20.96 um     6888 A      7631 A   
  60.00 MeV   3.392E+03  3.804E+00   22.41 um     7201 A      7697 A   
  65.00 MeV   3.313E+03  3.551E+00   23.90 um     7516 A      7763 A   
  70.00 MeV   3.264E+03  3.331E+00   25.42 um     7830 A      7828 A   
  80.00 MeV   3.125E+03  2.967E+00   28.55 um     9016 A      7957 A   
  90.00 MeV   2.980E+03  2.679E+00   31.82 um     1.02 um     8089 A   
 100.00 MeV   2.853E+03  2.445E+00   35.25 um     1.13 um     8224 A   
 110.00 MeV   2.740E+03  2.250E+00   38.82 um     1.24 um     8364 A   
 120.00 MeV   2.639E+03  2.085E+00   42.54 um     1.35 um     8509 A   
 130.00 MeV   2.548E+03  1.944E+00   46.39 um     1.45 um     8660 A   
 140.00 MeV   2.466E+03  1.822E+00   50.38 um     1.56 um     8816 A   
 150.00 MeV   2.390E+03  1.715E+00   54.50 um     1.67 um     8979 A   
 160.00 MeV   2.320E+03  1.621E+00   58.74 um     1.78 um     9148 A   
 170.00 MeV   2.255E+03  1.537E+00   63.11 um     1.88 um     9324 A   
 180.00 MeV   2.194E+03  1.461E+00   67.60 um     1.99 um     9506 A   
 200.00 MeV   2.084E+03  1.332E+00   76.95 um     2.39 um     9892 A   
 225.00 MeV   1.963E+03  1.201E+00   89.31 um     2.97 um     1.04 um  
 250.00 MeV   1.856E+03  1.094E+00  102.40 um     3.50 um     1.10 um  
 275.00 MeV   1.759E+03  1.005E+00  116.23 um     4.01 um     1.16 um  
 300.00 MeV   1.672E+03  9.307E-01  130.80 um     4.52 um     1.22 um  
 325.00 MeV   1.593E+03  8.669E-01  146.12 um     5.01 um     1.29 um  
 350.00 MeV   1.520E+03  8.116E-01  162.18 um     5.51 um     1.37 um  
 375.00 MeV   1.452E+03  7.633E-01  179.00 um     6.00 um     1.44 um  
 400.00 MeV   1.390E+03  7.207E-01  196.59 um     6.50 um     1.53 um  
 450.00 MeV   1.279E+03  6.489E-01  234.09 um     8.40 um     1.70 um  
 500.00 MeV   1.182E+03  5.906E-01  274.76 um    10.19 um     1.90 um  
 550.00 MeV   1.098E+03  5.424E-01  318.64 um    11.94 um     2.11 um  
 600.00 MeV   1.026E+03  5.018E-01  365.75 um    13.68 um     2.34 um  
 650.00 MeV   9.625E+02  4.671E-01  416.07 um    15.43 um     2.59 um  
 700.00 MeV   9.080E+02  4.370E-01  469.54 um    17.20 um     2.85 um  
 800.00 MeV   8.214E+02  3.877E-01  585.34 um    23.77 um     3.43 um  
 900.00 MeV   7.597E+02  3.487E-01  711.92 um    29.78 um     4.05 um  
   1.00 GeV   7.118E+02  3.172E-01  847.90 um    35.47 um     4.73 um  
   1.10 GeV   6.640E+02  2.910E-01  993.35 um    41.02 um     5.45 um  
   1.20 GeV   6.232E+02  2.691E-01    1.15 mm    46.57 um     6.21 um  
   1.30 GeV   5.869E+02  2.503E-01    1.31 mm    52.13 um     7.02 um  
   1.40 GeV   5.544E+02  2.341E-01    1.49 mm    57.75 um     7.87 um  
   1.50 GeV   5.258E+02  2.199E-01    1.67 mm    63.44 um     8.77 um  
   1.60 GeV   5.005E+02  2.075E-01    1.87 mm    69.20 um     9.71 um  
   1.70 GeV   4.778E+02  1.964E-01    2.07 mm    75.03 um    10.69 um  
   1.80 GeV   4.574E+02  1.865E-01    2.29 mm    80.93 um    11.71 um  
   2.00 GeV   4.221E+02  1.695E-01    2.74 mm   103.48 um    13.88 um  
   2.25 GeV   3.861E+02  1.523E-01    3.36 mm   135.66 um    16.81 um  
   2.50 GeV   3.567E+02  1.384E-01    4.04 mm   165.85 um    19.97 um  
   2.75 GeV   3.323E+02  1.269E-01    4.76 mm   195.16 um    23.36 um  
   3.00 GeV   3.116E+02  1.172E-01    5.54 mm   224.06 um    26.96 um  
   3.25 GeV   2.939E+02  1.090E-01    6.37 mm   252.79 um    30.76 um  
   3.50 GeV   2.785E+02  1.019E-01    7.24 mm   281.48 um    34.76 um  
   3.75 GeV   2.651E+02  9.566E-02    8.16 mm   310.21 um    38.95 um  
   4.00 GeV   2.532E+02  9.019E-02    9.12 mm   339.02 um    43.33 um  
   4.50 GeV   2.332E+02  8.099E-02   11.18 mm   447.08 um    52.59 um  
   5.00 GeV   2.169E+02  7.355E-02   13.41 mm   546.82 um    62.50 um  
   5.50 GeV   2.035E+02  6.741E-02   15.79 mm   642.34 um    73.00 um  
   6.00 GeV   1.922E+02  6.225E-02   18.31 mm   735.38 um    84.06 um  
   6.50 GeV   1.826E+02  5.784E-02   20.98 mm   826.83 um    95.63 um  
   7.00 GeV   1.743E+02  5.404E-02   23.78 mm   917.17 um   107.68 um  
   8.00 GeV   1.608E+02  4.781E-02   29.76 mm     1.25 mm   133.07 um  
   9.00 GeV   1.501E+02  4.291E-02   36.20 mm     1.55 mm   159.99 um  
  10.00 GeV   1.416E+02  3.895E-02   43.05 mm     1.82 mm   188.23 um  
