       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   4.00 MeV   1.219E+03  1.687E+01    6.50 um     5344 A      7019 A   
   4.50 MeV   1.328E+03  1.535E+01    6.88 um     5415 A      7150 A   
   5.00 MeV   1.431E+03  1.410E+01    7.24 um     5473 A      7259 A   
   5.50 MeV   1.529E+03  1.306E+01    7.57 um     5521 A      7351 A   
   6.00 MeV   1.622E+03  1.216E+01    7.89 um     5563 A      7431 A   
   6.50 MeV   1.712E+03  1.140E+01    8.18 um     5599 A      7500 A   
   7.00 MeV   1.798E+03  1.073E+01    8.46 um     5631 A      7562 A   
   8.00 MeV   1.961E+03  9.613E+00    8.99 um     5709 A      7665 A   
   9.00 MeV   2.110E+03  8.723E+00    9.48 um     5772 A      7750 A   
  10.00 MeV   2.244E+03  7.994E+00    9.93 um     5827 A      7820 A   
  11.00 MeV   2.361E+03  7.385E+00   10.37 um     5874 A      7881 A   
  12.00 MeV   2.460E+03  6.868E+00   10.78 um     5916 A      7933 A   
  13.00 MeV   2.541E+03  6.423E+00   11.18 um     5954 A      7980 A   
  14.00 MeV   2.604E+03  6.036E+00   11.56 um     5989 A      8022 A   
  15.00 MeV   2.652E+03  5.696E+00   11.94 um     6023 A      8061 A   
  16.00 MeV   2.686E+03  5.395E+00   12.32 um     6054 A      8097 A   
  17.00 MeV   2.709E+03  5.126E+00   12.69 um     6085 A      8130 A   
  18.00 MeV   2.721E+03  4.884E+00   13.05 um     6114 A      8161 A   
  20.00 MeV   2.725E+03  4.467E+00   13.78 um     6215 A      8218 A   
  22.50 MeV   2.701E+03  4.042E+00   14.70 um     6364 A      8284 A   
  25.00 MeV   2.660E+03  3.695E+00   15.63 um     6513 A      8345 A   
  27.50 MeV   2.610E+03  3.406E+00   16.58 um     6662 A      8402 A   
  30.00 MeV   2.555E+03  3.161E+00   17.55 um     6814 A      8457 A   
  32.50 MeV   2.500E+03  2.952E+00   18.54 um     6968 A      8510 A   
  35.00 MeV   2.445E+03  2.769E+00   19.55 um     7124 A      8562 A   
  37.50 MeV   2.391E+03  2.610E+00   20.58 um     7284 A      8613 A   
  40.00 MeV   2.338E+03  2.468E+00   21.63 um     7447 A      8664 A   
  45.00 MeV   2.240E+03  2.230E+00   23.82 um     8083 A      8765 A   
  50.00 MeV   2.160E+03  2.035E+00   26.09 um     8718 A      8866 A   
  55.00 MeV   2.102E+03  1.873E+00   28.43 um     9347 A      8968 A   
  60.00 MeV   2.029E+03  1.737E+00   30.85 um     9973 A      9071 A   
  65.00 MeV   1.955E+03  1.620E+00   33.36 um     1.06 um     9177 A   
  70.00 MeV   1.888E+03  1.519E+00   35.96 um     1.12 um     9287 A   
  80.00 MeV   1.771E+03  1.351E+00   41.42 um     1.37 um     9516 A   
  90.00 MeV   1.672E+03  1.219E+00   47.23 um     1.60 um     9762 A   
 100.00 MeV   1.586E+03  1.111E+00   53.37 um     1.82 um     1.00 um  
 110.00 MeV   1.511E+03  1.022E+00   59.83 um     2.04 um     1.03 um  
 120.00 MeV   1.444E+03  9.464E-01   66.59 um     2.26 um     1.06 um  
 130.00 MeV   1.384E+03  8.819E-01   73.67 um     2.47 um     1.09 um  
 140.00 MeV   1.329E+03  8.260E-01   81.03 um     2.69 um     1.13 um  
 150.00 MeV   1.280E+03  7.772E-01   88.70 um     2.90 um     1.16 um  
 160.00 MeV   1.234E+03  7.340E-01   96.65 um     3.11 um     1.20 um  
 170.00 MeV   1.192E+03  6.956E-01  104.89 um     3.33 um     1.24 um  
 180.00 MeV   1.152E+03  6.613E-01  113.42 um     3.54 um     1.28 um  
 200.00 MeV   1.081E+03  6.022E-01  131.33 um     4.36 um     1.37 um  
 225.00 MeV   1.004E+03  5.424E-01  155.33 um     5.54 um     1.50 um  
 250.00 MeV   9.361E+02  4.938E-01  181.11 um     6.64 um     1.64 um  
